freelancer_id,category,primary_skills,years_experience,experience_level,region,country,education,hourly_rate_usd,annual_income_usd,primary_platform
FL0205,Web Development,"React, JavaScript, HTML/CSS",0.7,junior,Africa,South Africa,Bootcamp,21.19,"$19,867.83",Direct Client
FL0206,Blockchain,"Ethereum, Smart Contracts, Web3",9.4,senior,Africa,Nigeria,Self-taught,61.54,"$59,276.31",Freelancer
FL0207,DevOps,"AWS, CI/CD, Kubernetes",8.8,senior,Western Europe,Switzerland,Bachelor,195.91,"$162,466.26",Upwork
FL0208,Cybersecurity,"Cryptography, Penetration Testing, Security Audit",5,mid,Eastern Europe,Romania,Self-taught,68.21,"$71,949.75",Freelancer
FL0209,Web Development,"Angular, Node.js, JavaScript",4.2,mid,Latin America,Brazil,Bachelor,38.08,"$33,775.69",Freelancer
FL0210,Backend Development,"Java, PHP, Ruby",8.9,senior,Middle East,UAE,Bachelor,105.37,"$89,805.25",Direct Client
FL0211,Web Development,"Node.js, React, Angular",5.9,senior,Western Europe,Germany,Self-taught,116.83,"$101,535.15",Upwork
FL0212,AI/ML Engineering,"Computer Vision, TensorFlow, Data Science",8.3,senior,Western Europe,UK,Master,215.59,"$227,028.83",Upwork
FL0213,Backend Development,"PHP, Ruby, C#",5.1,senior,North America,US,Self-taught,165,"$154,473.16",LinkedIn
FL0214,Blockchain,"Ethereum, Smart Contracts, Web3",10.6,senior,Latin America,Argentina,Bootcamp,106.04,"$105,640.86",Direct Client
FL0215,Cybersecurity,"Network Security, Penetration Testing, Cryptography",5.5,senior,Africa,South Africa,Self-taught,82.26,"$79,229.43",Toptal
FL0216,Data Engineering,"Python, Spark, ETL",7.6,senior,Western Europe,Switzerland,Bachelor,247.88,"$254,329.62",Upwork
FL0217,Cybersecurity,"Cryptography, Security Audit, Penetration Testing",7.3,senior,Africa,Nigeria,Master,54.34,"$45,427.84",Freelancer
FL0218,Mobile Development,"Flutter, iOS, Android",5.2,senior,Eastern Europe,Romania,Self-taught,91.07,"$91,295.47",Upwork
FL0219,Cybersecurity,"Security Audit, Penetration Testing, Cryptography",4.4,mid,Asia Pacific,Australia,Bachelor,157.77,"$136,296.37",Direct Client
FL0220,Web Development,"HTML/CSS, JavaScript, Angular",9.7,senior,Eastern Europe,Ukraine,Master,63.46,"$59,638.79",Freelancer
FL0221,Backend Development,"Go, C#, Python",9.6,senior,Asia Pacific,Australia,Self-taught,165.23,"$157,444.99",Fiverr
FL0222,DevOps,"AWS, CI/CD, Terraform",2.5,mid,Middle East,Israel,Master,96.84,"$80,693.91",Upwork
FL0223,Mobile Development,"Android, iOS, Flutter",5.6,senior,Africa,Nigeria,Master,41.98,"$37,095.93",Toptal
FL0224,DevOps,"Kubernetes, AWS, Docker",9.8,senior,Middle East,Israel,Bachelor,139.11,"$122,955.78",Fiverr
FL0225,UI/UX Design,"Prototyping, Adobe XD, Sketch",2.6,mid,Western Europe,France,Master,70.23,"$68,369.02",LinkedIn
FL0226,Full Stack,"PostgreSQL, REST API, Node.js",8.6,senior,Latin America,Argentina,Bootcamp,75.39,"$65,772.98",Fiverr
FL0227,Data Engineering,"Python, Spark, SQL",5.9,senior,Latin America,Colombia,Master,79.58,"$70,477.13",Direct Client
FL0228,Mobile Development,"React Native, Swift, Flutter",10.3,senior,Latin America,Colombia,Bachelor,70.44,"$74,736.56",Upwork
FL0229,Web Development,"HTML/CSS, Node.js, JavaScript",12.2,senior,Middle East,Israel,Master,119.84,"$109,359.19",Upwork
FL0230,Blockchain,"Smart Contracts, Solidity, DeFi",10.9,senior,Africa,South Africa,Bachelor,80.73,"$77,337.96",Freelancer
FL0231,Cybersecurity,"Cryptography, Security Audit, Network Security",5.1,senior,Western Europe,Germany,Self-taught,209.74,"$178,054.45",Upwork
FL0232,Web Development,"HTML/CSS, Vue.js, React",6.5,senior,Western Europe,Switzerland,Master,181.66,"$164,994.12",Direct Client
FL0233,Backend Development,"PHP, C#, Python",3.6,mid,Africa,Nigeria,Bootcamp,32.96,"$34,202.29",Other
FL0234,Cybersecurity,"Security Audit, Penetration Testing, Network Security",10.7,senior,North America,US,Self-taught,215.75,"$183,844.69",Fiverr
FL0235,Mobile Development,"Swift, Kotlin, Flutter",4.2,mid,Western Europe,Switzerland,Bachelor,140.09,"$151,155.95",Direct Client
FL0236,Backend Development,"Java, Python, Ruby",1.2,junior,Eastern Europe,Ukraine,Bachelor,26.4,"$27,359.67",LinkedIn
FL0237,Data Engineering,"Data Warehousing, SQL, ETL",5.9,senior,Africa,Nigeria,PhD,53.31,"$51,224.23",LinkedIn
FL0238,Web Development,"Angular, Vue.js, Node.js",4.9,mid,Eastern Europe,Ukraine,Self-taught,45.56,"$41,121.00",Freelancer
FL0239,DevOps,"Terraform, Azure, CI/CD",2.4,mid,Eastern Europe,Poland,Master,64.29,"$59,529.13",Freelancer
FL0240,UI/UX Design,"Adobe XD, Sketch, User Research",8.6,senior,Western Europe,Switzerland,Self-taught,174.44,"$142,376.40",Toptal
FL0241,Web Development,"Node.js, Angular, React",5.2,senior,Western Europe,Switzerland,Master,181.63,"$156,265.67",Fiverr
FL0242,DevOps,"AWS, Terraform, Kubernetes",6.9,senior,Western Europe,Germany,Bachelor,174.7,"$164,856.28",Freelancer
FL0243,Full Stack,"MongoDB, REST API, Node.js",1.8,junior,Africa,South Africa,Bachelor,22.24,"$23,291.22",Upwork
FL0244,Mobile Development,"Kotlin, iOS, Android",7.8,senior,Latin America,Brazil,Self-taught,71.82,"$74,727.93",Upwork
FL0245,AI/ML Engineering,"Computer Vision, NLP, Python",10.9,senior,Eastern Europe,Romania,Bachelor,107.01,"$106,255.76",Direct Client
FL0246,Cybersecurity,"Penetration Testing, Cryptography, Network Security",2,junior,Africa,Nigeria,Bachelor,28.15,"$28,868.61",Freelancer
FL0247,Full Stack,"PostgreSQL, REST API, GraphQL",2.7,mid,Asia Pacific,India,Self-taught,31.04,"$28,785.89",Direct Client
FL0248,Full Stack,"Node.js, REST API, GraphQL",5.6,senior,North America,Canada,Self-taught,129.41,"$131,115.54",Upwork
FL0249,Data Engineering,"ETL, BigQuery, Spark",3.6,mid,Middle East,UAE,PhD,89.02,"$71,134.50",Direct Client
FL0250,UI/UX Design,"Prototyping, Sketch, Wireframing",1.1,junior,Western Europe,UK,Bachelor,46.89,"$40,564.45",Direct Client
FL0251,DevOps,"CI/CD, AWS, Terraform",3.9,mid,Asia Pacific,China,Bachelor,42.66,"$43,293.41",Direct Client
FL0252,AI/ML Engineering,"Computer Vision, NLP, TensorFlow",11.3,senior,Middle East,Israel,Master,161.68,"$167,984.68",Freelancer
FL0253,DevOps,"Azure, AWS, Terraform",3.4,mid,Asia Pacific,India,Master,26.12,"$23,901.31",Direct Client
FL0254,UI/UX Design,"Wireframing, Sketch, Prototyping",8.3,senior,North America,Canada,Bachelor,127.96,"$113,365.07",LinkedIn
FL0255,Data Engineering,"Data Warehousing, BigQuery, SQL",4.2,mid,Africa,South Africa,Master,52.65,"$44,217.34",Direct Client
FL0256,Backend Development,"Go, C#, Ruby",1,junior,Western Europe,Switzerland,Self-taught,69.73,"$55,734.91",Toptal
FL0257,Full Stack,"PostgreSQL, Node.js, React",6.5,senior,Middle East,UAE,Bootcamp,115.49,"$92,374.60",Direct Client
FL0258,Full Stack,"REST API, React, GraphQL",9.2,senior,Asia Pacific,Australia,Bachelor,159.06,"$133,538.80",Direct Client
FL0259,AI/ML Engineering,"TensorFlow, NLP, Computer Vision",1.5,junior,Latin America,Colombia,Master,34.06,"$32,329.03",Direct Client
FL0260,Backend Development,"Ruby, Go, PHP",3.4,mid,Eastern Europe,Ukraine,Master,45.55,"$49,035.33",Toptal
FL0261,Cybersecurity,"Network Security, Cryptography, Penetration Testing",5.4,senior,Africa,Nigeria,Bootcamp,60.97,"$62,824.97",Fiverr
FL0262,Full Stack,"GraphQL, React, Node.js",6.5,senior,Africa,Nigeria,Bachelor,53.27,"$53,909.19",LinkedIn
FL0263,UI/UX Design,"Figma, User Research, Wireframing",12,senior,North America,US,Bachelor,156.27,"$153,245.42",LinkedIn
FL0264,Cybersecurity,"Penetration Testing, Security Audit, Cryptography",8.5,senior,Asia Pacific,Australia,Master,200.47,"$176,809.00",Other
FL0265,Data Engineering,"BigQuery, Spark, Python",4.4,mid,Middle East,Israel,Master,101.02,"$105,475.37",Upwork
FL0266,AI/ML Engineering,"Data Science, NLP, Python",3.5,mid,Latin America,Argentina,Master,70.8,"$71,629.96",Toptal
FL0267,Cybersecurity,"Network Security, Security Audit, Cryptography",7,senior,Middle East,UAE,Master,143.44,"$139,697.21",Direct Client
FL0268,Cybersecurity,"Security Audit, Cryptography, Penetration Testing",5,mid,North America,US,Master,133.84,"$118,008.15",Direct Client
FL0269,AI/ML Engineering,"Data Science, NLP, PyTorch",11.5,senior,Asia Pacific,Australia,PhD,281.47,"$275,012.36",Freelancer
FL0270,Cybersecurity,"Security Audit, Penetration Testing, Cryptography",7.6,senior,North America,Canada,Master,166.07,"$175,596.31",Direct Client
FL0271,DevOps,"Azure, Kubernetes, CI/CD",7.5,senior,Latin America,Brazil,Self-taught,80.21,"$74,632.98",Toptal
FL0272,Data Engineering,"ETL, SQL, Data Warehousing",5,mid,Eastern Europe,Romania,Master,58.93,"$51,587.27",Upwork
FL0273,Web Development,"Vue.js, JavaScript, React",1.1,junior,Middle East,UAE,Self-taught,38.74,"$34,888.74",Toptal
FL0274,Data Engineering,"Spark, SQL, Data Warehousing",6.1,senior,Middle East,Israel,PhD,164.5,"$168,303.10",Upwork
FL0275,Cybersecurity,"Security Audit, Cryptography, Network Security",10.2,senior,Eastern Europe,Romania,Bachelor,109.68,"$115,914.41",Direct Client
FL0276,Backend Development,"PHP, Java, Go",1.4,junior,Africa,Nigeria,Bachelor,17.28,"$16,236.64",Direct Client
FL0277,Backend Development,"C#, Java, Ruby",3.9,mid,Latin America,Mexico,Bachelor,48.9,"$39,615.44",Direct Client
FL0278,Web Development,"Angular, React, Node.js",11.3,senior,Latin America,Argentina,Bachelor,63.68,"$56,840.96",Toptal
FL0279,DevOps,"Terraform, AWS, Docker",5.2,senior,North America,Canada,Self-taught,155.91,"$150,594.79",Freelancer
FL0280,Cybersecurity,"Security Audit, Cryptography, Penetration Testing",12.2,senior,Western Europe,Germany,Master,196,"$209,987.78",Other
FL0281,Cybersecurity,"Network Security, Penetration Testing, Security Audit",11.9,senior,Latin America,Brazil,Master,80.24,"$86,117.72",Toptal
FL0282,Web Development,"HTML/CSS, Angular, Node.js",2.8,mid,Latin America,Colombia,Self-taught,39.1,"$41,064.07",LinkedIn
FL0283,Cybersecurity,"Security Audit, Penetration Testing, Cryptography",5.6,senior,Africa,South Africa,Self-taught,84.52,"$77,117.43",Direct Client
FL0284,Blockchain,"Solidity, Smart Contracts, DeFi",3.1,mid,Eastern Europe,Ukraine,Self-taught,79.77,"$85,551.05",Direct Client
FL0285,Full Stack,"Node.js, MongoDB, React",2.7,mid,Africa,South Africa,Bachelor,37.51,"$33,955.53",Direct Client
FL0286,Data Engineering,"ETL, SQL, Data Warehousing",4.9,mid,Africa,Nigeria,Bachelor,33.62,"$27,270.04",Fiverr
FL0287,AI/ML Engineering,"Computer Vision, Python, Data Science",4.1,mid,North America,US,Bachelor,131,"$115,529.37",Fiverr
FL0288,AI/ML Engineering,"Computer Vision, NLP, Data Science",5.1,senior,North America,Canada,Master,221.19,"$189,946.53",Freelancer
FL0289,Full Stack,"React, PostgreSQL, GraphQL",5.7,senior,Middle East,Israel,Master,119.26,"$97,173.23",Upwork
FL0290,Data Engineering,"SQL, BigQuery, Spark",4,mid,Eastern Europe,Ukraine,Bachelor,67.35,"$66,839.75",Freelancer
FL0291,AI/ML Engineering,"TensorFlow, NLP, Data Science",8.4,senior,Asia Pacific,India,Bachelor,62.35,"$56,812.27",Freelancer
FL0292,Web Development,"Vue.js, React, JavaScript",3.4,mid,Asia Pacific,China,Self-taught,36.01,"$29,680.04",Fiverr
FL0293,UI/UX Design,"Figma, Sketch, Prototyping",7.9,senior,Eastern Europe,Ukraine,Self-taught,58.83,"$47,846.13",LinkedIn
FL0294,Cybersecurity,"Penetration Testing, Security Audit, Cryptography",6.2,senior,Eastern Europe,Poland,Self-taught,97.41,"$92,722.99",Direct Client
FL0295,Full Stack,"GraphQL, MongoDB, REST API",5.8,senior,Eastern Europe,Ukraine,Self-taught,71.7,"$58,127.91",Upwork
FL0296,AI/ML Engineering,"Python, NLP, PyTorch",3.7,mid,Middle East,Israel,Master,117.16,"$96,550.12",Direct Client
FL0297,Blockchain,"Ethereum, Smart Contracts, Web3",9.5,senior,Latin America,Brazil,Bachelor,85.84,"$89,217.61",Upwork
FL0298,UI/UX Design,"Sketch, Adobe XD, Prototyping",9.1,senior,Western Europe,UK,Bootcamp,126.1,"$128,683.83",Direct Client
FL0299,Backend Development,"Go, Python, Ruby",7.1,senior,Middle East,Israel,Bachelor,127.17,"$121,525.79",Upwork
FL0300,AI/ML Engineering,"Computer Vision, Python, Data Science",8.3,senior,Western Europe,France,Master,193.82,"$157,162.22",Direct Client
FL0301,Full Stack,"PostgreSQL, React, REST API",3.3,mid,Africa,Nigeria,Master,33.66,"$34,473.26",LinkedIn
FL0302,Cybersecurity,"Security Audit, Penetration Testing, Cryptography",4.8,mid,Eastern Europe,Ukraine,Master,58.36,"$55,771.48",Freelancer
FL0303,Mobile Development,"Flutter, Android, Swift",4.1,mid,Eastern Europe,Romania,Self-taught,54.08,"$57,780.74",Direct Client
FL0304,UI/UX Design,"Wireframing, Sketch, Prototyping",9.8,senior,Africa,South Africa,Bachelor,46.49,"$44,328.35",Fiverr
FL0305,UI/UX Design,"User Research, Figma, Wireframing",2.9,mid,North America,Canada,Bootcamp,73.1,"$69,908.30",Upwork
FL0306,Cybersecurity,"Penetration Testing, Network Security, Security Audit",3.9,mid,Asia Pacific,India,Bachelor,37.32,"$34,623.00",Upwork
FL0307,Data Engineering,"SQL, Python, BigQuery",9.5,senior,Middle East,Israel,Master,128.07,"$116,261.58",Direct Client
FL0308,DevOps,"Terraform, Azure, CI/CD",1.2,junior,Middle East,UAE,Master,63.19,"$61,203.07",Toptal
FL0309,Backend Development,"Java, Python, C#",4.1,mid,North America,Canada,Master,84.54,"$85,238.39",LinkedIn
FL0310,Cybersecurity,"Security Audit, Cryptography, Network Security",4.8,mid,Africa,South Africa,Master,51.73,"$47,886.06",Direct Client
FL0311,Web Development,"Vue.js, Angular, HTML/CSS",5.9,senior,Eastern Europe,Poland,Bachelor,71.01,"$58,563.34",Toptal
FL0312,Web Development,"Angular, JavaScript, Vue.js",5.5,senior,Latin America,Brazil,Bachelor,53.82,"$54,584.35",Upwork
FL0313,Backend Development,"Python, C#, Java",5.5,senior,North America,Canada,Self-taught,133.4,"$133,157.87",Direct Client
FL0314,Web Development,"JavaScript, Vue.js, Node.js",11.3,senior,North America,US,Bachelor,144.86,"$144,565.49",Upwork
FL0315,AI/ML Engineering,"Python, Data Science, TensorFlow",5.4,senior,Asia Pacific,China,PhD,81.22,"$79,891.07",Toptal
FL0316,Cybersecurity,"Network Security, Penetration Testing, Cryptography",6.2,senior,Middle East,UAE,Self-taught,178.12,"$186,657.17",Fiverr
FL0317,Blockchain,"DeFi, Solidity, Web3",12.3,senior,Eastern Europe,Ukraine,Master,99.74,"$103,168.69",Freelancer
FL0318,Mobile Development,"iOS, Kotlin, Android",5.4,senior,Asia Pacific,China,Master,53.36,"$47,157.05",Toptal
FL0319,UI/UX Design,"User Research, Adobe XD, Prototyping",0.5,junior,Asia Pacific,Australia,Master,62.39,"$66,008.05",Fiverr
FL0320,Mobile Development,"Swift, Flutter, iOS",7.3,senior,Latin America,Colombia,Bootcamp,70.6,"$56,613.49",LinkedIn
FL0321,AI/ML Engineering,"TensorFlow, NLP, Computer Vision",5.7,senior,Africa,Nigeria,Bachelor,71.15,"$68,021.74",Toptal
FL0322,Backend Development,"Go, PHP, Python",3,mid,North America,US,Bachelor,98.28,"$88,430.44",Upwork
FL0323,Backend Development,"C#, Go, Java",12.7,senior,Latin America,Argentina,Master,88.7,"$94,288.44",Upwork
FL0324,Backend Development,"Ruby, Python, Java",0.7,junior,Middle East,UAE,Bachelor,38.95,"$31,220.95",Toptal
FL0325,Cybersecurity,"Cryptography, Network Security, Penetration Testing",3.4,mid,Africa,Nigeria,Master,30.75,"$28,559.20",Toptal
FL0326,Cybersecurity,"Cryptography, Network Security, Security Audit",2.7,mid,Latin America,Mexico,Bachelor,59.33,"$60,575.03",Fiverr
FL0327,Blockchain,"Ethereum, Web3, Smart Contracts",3.5,mid,Latin America,Mexico,Master,62.18,"$61,391.29",Direct Client
FL0328,Full Stack,"React, MongoDB, GraphQL",7.6,senior,Western Europe,UK,Bachelor,139.18,"$138,761.17",Fiverr
FL0329,Mobile Development,"iOS, Swift, Kotlin",6.6,senior,Asia Pacific,Australia,Bachelor,167.95,"$172,121.50",Direct Client
FL0330,Full Stack,"Node.js, MongoDB, PostgreSQL",3.1,mid,Western Europe,France,Self-taught,82.73,"$86,179.93",Toptal
FL0331,UI/UX Design,"User Research, Figma, Sketch",5.9,senior,Asia Pacific,China,Self-taught,48.72,"$50,420.03",Other
FL0332,UI/UX Design,"Sketch, Prototyping, Adobe XD",5.7,senior,Latin America,Colombia,Bachelor,49.75,"$47,743.03",Freelancer
FL0333,DevOps,"Docker, AWS, Azure",3.2,mid,Asia Pacific,Japan,Master,105.13,"$102,348.30",Direct Client
FL0334,DevOps,"Kubernetes, Azure, CI/CD",0.7,junior,Middle East,UAE,Self-taught,60.95,"$55,451.70",Upwork
FL0335,Web Development,"JavaScript, React, Node.js",2.2,mid,Western Europe,France,Self-taught,79.51,"$82,327.03",LinkedIn
FL0336,Full Stack,"PostgreSQL, MongoDB, GraphQL",6.1,senior,Western Europe,Germany,Self-taught,157.54,"$131,779.01",Direct Client
FL0337,AI/ML Engineering,"NLP, TensorFlow, Python",2.5,mid,Asia Pacific,Philippines,Bachelor,44.62,"$46,530.92",Direct Client
FL0338,DevOps,"Azure, AWS, Terraform",0.6,junior,Middle East,Israel,Bachelor,66.08,"$66,374.86",Direct Client
FL0339,Full Stack,"GraphQL, PostgreSQL, Node.js",6.9,senior,Middle East,Israel,Master,123.28,"$118,890.41",LinkedIn
FL0340,DevOps,"Docker, Kubernetes, Azure",8.1,senior,Asia Pacific,India,Bachelor,57.11,"$54,811.60",Freelancer
FL0341,Blockchain,"Smart Contracts, Web3, Ethereum",6.7,senior,Western Europe,Switzerland,Bachelor,233.39,"$220,331.62",Direct Client
FL0342,UI/UX Design,"Wireframing, User Research, Figma",1.5,junior,Africa,South Africa,Bachelor,20.5,"$18,318.80",Fiverr
FL0343,Backend Development,"C#, Java, Python",6.6,senior,Africa,South Africa,Bachelor,51.8,"$49,673.89",Toptal
FL0344,Blockchain,"Smart Contracts, DeFi, Solidity",4.8,mid,North America,Canada,Bachelor,152.49,"$131,368.85",Upwork
FL0345,Web Development,"HTML/CSS, Vue.js, Angular",1.2,junior,Africa,South Africa,Bootcamp,17.73,"$18,077.51",Upwork
FL0346,Backend Development,"Go, PHP, Ruby",9.7,senior,North America,US,Bootcamp,174.79,"$147,110.24",Upwork
FL0347,Web Development,"HTML/CSS, JavaScript, React",9.3,senior,North America,Canada,Master,123.78,"$116,711.69",Freelancer
FL0348,DevOps,"Docker, Terraform, Kubernetes",6,senior,Middle East,UAE,Master,119.37,"$116,230.65",Direct Client
FL0349,Data Engineering,"ETL, Data Warehousing, SQL",10.2,senior,Africa,South Africa,Bachelor,77.78,"$64,266.94",Direct Client
FL0350,Cybersecurity,"Penetration Testing, Network Security, Security Audit",3.8,mid,Western Europe,Germany,Self-taught,126.69,"$126,312.42",Upwork
FL0351,DevOps,"Kubernetes, CI/CD, Terraform",2.4,mid,Latin America,Brazil,Master,45.15,"$39,258.53",Direct Client
FL0352,Blockchain,"Solidity, Ethereum, Web3",1.9,junior,North America,US,Master,95.83,"$89,856.16",Fiverr
FL0353,Blockchain,"Solidity, Ethereum, Smart Contracts",3.4,mid,Eastern Europe,Ukraine,Self-taught,72.01,"$68,427.92",Direct Client
FL0354,Data Engineering,"ETL, Spark, Python",6.3,senior,Eastern Europe,Poland,Bachelor,91.42,"$77,995.67",Direct Client
FL0355,Mobile Development,"iOS, Flutter, React Native",1.7,junior,Latin America,Brazil,Master,32.02,"$33,159.18",Freelancer
FL0356,Web Development,"Vue.js, JavaScript, Angular",5.8,senior,Africa,South Africa,Master,53.25,"$42,742.21",Direct Client
FL0357,Backend Development,"Java, Python, Ruby",3.8,mid,Asia Pacific,India,Bachelor,26.66,"$21,430.09",Upwork
FL0358,Backend Development,"Go, Java, Ruby",10,senior,Africa,Nigeria,Master,55.46,"$45,516.26",Toptal
FL0359,Data Engineering,"SQL, Data Warehousing, ETL",5,mid,Latin America,Brazil,Master,55.45,"$51,590.51",Upwork
FL0360,DevOps,"AWS, Azure, Kubernetes",4.2,mid,Eastern Europe,Romania,Bachelor,64.15,"$64,623.10",Toptal
FL0361,Full Stack,"MongoDB, PostgreSQL, REST API",2.2,mid,Latin America,Mexico,Bachelor,45.29,"$38,261.60",Toptal
FL0362,DevOps,"CI/CD, Docker, AWS",6.5,senior,Africa,South Africa,Bachelor,62.9,"$61,444.85",Direct Client
FL0363,Mobile Development,"iOS, Android, Flutter",1.6,junior,Latin America,Brazil,Master,29.36,"$25,678.46",Upwork
FL0364,DevOps,"Terraform, Azure, Kubernetes",5,mid,Eastern Europe,Poland,Bachelor,63.02,"$61,812.89",LinkedIn
FL0365,UI/UX Design,"Adobe XD, Wireframing, Prototyping",2.4,mid,North America,US,Master,97.3,"$102,280.52",Upwork
FL0366,Blockchain,"Ethereum, Solidity, Web3",7.3,senior,Africa,Nigeria,Bachelor,65.77,"$65,375.41",LinkedIn
FL0367,DevOps,"Kubernetes, Azure, AWS",2.4,mid,Eastern Europe,Poland,Self-taught,59.19,"$55,309.75",Upwork
FL0368,Full Stack,"React, PostgreSQL, GraphQL",1.2,junior,Latin America,Mexico,Bachelor,29.18,"$26,517.37",Freelancer
FL0369,Mobile Development,"Kotlin, iOS, React Native",1.4,junior,North America,Canada,Self-taught,71.27,"$72,621.72",Direct Client
FL0370,Backend Development,"PHP, Ruby, Python",8.3,senior,Western Europe,UK,Self-taught,149.34,"$148,786.51",Freelancer
FL0371,Full Stack,"REST API, Node.js, React",7.1,senior,Eastern Europe,Ukraine,Master,81.03,"$79,729.39",Freelancer
FL0372,UI/UX Design,"Figma, Sketch, Prototyping",4.6,mid,Latin America,Argentina,Bachelor,48.42,"$40,542.19",Toptal
FL0373,AI/ML Engineering,"Computer Vision, Python, TensorFlow",6.3,senior,Middle East,UAE,PhD,177.95,"$180,258.57",Toptal
FL0374,DevOps,"Docker, Terraform, CI/CD",2.6,mid,Latin America,Mexico,Master,53.69,"$45,527.04",Upwork
FL0375,DevOps,"Kubernetes, Terraform, AWS",7.1,senior,Eastern Europe,Poland,Bachelor,104.78,"$87,727.67",Direct Client
FL0376,Backend Development,"C#, PHP, Go",4.2,mid,Latin America,Mexico,Bachelor,47.68,"$40,583.47",Freelancer
FL0377,Web Development,"HTML/CSS, Angular, Node.js",7.2,senior,Middle East,UAE,Bachelor,113.41,"$112,657.13",Upwork
FL0378,Full Stack,"React, REST API, PostgreSQL",7.9,senior,North America,US,Self-taught,169.38,"$170,763.19",LinkedIn
FL0379,DevOps,"Kubernetes, Docker, CI/CD",2.9,mid,North America,US,Bachelor,127.87,"$128,316.11",Upwork
FL0380,Full Stack,"Node.js, PostgreSQL, MongoDB",5,mid,Eastern Europe,Poland,Self-taught,53.1,"$55,893.68",Fiverr
FL0381,Data Engineering,"SQL, Data Warehousing, Python",1.1,junior,Asia Pacific,Philippines,PhD,18.84,"$18,961.33",Freelancer
FL0382,UI/UX Design,"Wireframing, Figma, User Research",1,junior,Western Europe,France,Bachelor,54.38,"$52,786.82",Toptal
FL0383,Cybersecurity,"Cryptography, Network Security, Security Audit",3.5,mid,Middle East,UAE,Bootcamp,94.23,"$76,786.92",Upwork
FL0384,Web Development,"Node.js, JavaScript, React",2,junior,North America,Canada,Bachelor,41.11,"$37,456.58",Upwork
FL0385,Backend Development,"Ruby, Python, Java",4.9,mid,Latin America,Argentina,Self-taught,56.53,"$54,171.85",LinkedIn
FL0386,UI/UX Design,"Wireframing, Figma, Sketch",4.4,mid,Eastern Europe,Poland,Bachelor,50.77,"$53,854.81",LinkedIn
FL0387,Blockchain,"Solidity, Smart Contracts, Web3",6.2,senior,Latin America,Brazil,Bachelor,86.71,"$87,089.17",Freelancer
FL0388,Mobile Development,"React Native, Android, Swift",3.6,mid,North America,Canada,Bootcamp,102.12,"$88,157.95",Direct Client
FL0389,Full Stack,"React, MongoDB, PostgreSQL",8.9,senior,Latin America,Mexico,Bachelor,74.92,"$77,992.29",LinkedIn
FL0390,AI/ML Engineering,"PyTorch, TensorFlow, NLP",4.6,mid,Western Europe,UK,Master,130.42,"$104,292.77",LinkedIn
FL0391,Mobile Development,"React Native, Android, Kotlin",3.9,mid,Western Europe,Switzerland,Self-taught,128.34,"$104,371.03",LinkedIn
FL0392,Cybersecurity,"Network Security, Cryptography, Penetration Testing",5.1,senior,Eastern Europe,Poland,Bachelor,107.04,"$103,856.80",Direct Client
FL0393,Cybersecurity,"Security Audit, Cryptography, Penetration Testing",3.9,mid,Middle East,Israel,Bachelor,103.85,"$112,142.09",Direct Client
FL0394,Full Stack,"REST API, GraphQL, PostgreSQL",1.2,junior,Western Europe,Germany,Self-taught,69.15,"$66,713.79",Upwork
FL0395,Data Engineering,"Data Warehousing, BigQuery, SQL",4.5,mid,Western Europe,Switzerland,Bachelor,168.12,"$153,968.51",Upwork
FL0396,Full Stack,"React, GraphQL, MongoDB",9.3,senior,Middle East,UAE,Master,146.19,"$138,111.16",LinkedIn
FL0397,DevOps,"Azure, CI/CD, Docker",4.3,mid,North America,Canada,Self-taught,113.26,"$109,350.91",Upwork
FL0398,Data Engineering,"Python, SQL, BigQuery",4.3,mid,Eastern Europe,Ukraine,Master,52.63,"$54,364.85",Upwork
FL0399,AI/ML Engineering,"NLP, Computer Vision, TensorFlow",11.5,senior,Africa,Nigeria,Master,64.71,"$63,683.48",Upwork
FL0400,UI/UX Design,"Prototyping, Wireframing, User Research",4.8,mid,Eastern Europe,Romania,Bachelor,39.5,"$36,741.97",Upwork
FL0401,Mobile Development,"Swift, Kotlin, Android",4.5,mid,Africa,South Africa,Bachelor,40.45,"$43,090.80",Upwork
FL0402,Web Development,"Vue.js, React, Node.js",3.2,mid,Eastern Europe,Romania,Bachelor,46.06,"$40,021.69",Upwork
FL0403,Backend Development,"Java, Python, C#",9.7,senior,Middle East,UAE,Self-taught,102.8,"$82,749.22",Upwork
FL0404,Web Development,"JavaScript, Angular, Node.js",5.1,senior,Eastern Europe,Ukraine,Self-taught,76.05,"$81,011.33",Freelancer
FL0405,Web Development,"Vue.js, JavaScript, React",6,senior,North America,US,Bachelor,158.64,"$162,254.57",Direct Client
FL0406,UI/UX Design,"Prototyping, User Research, Sketch",6.8,senior,Asia Pacific,Japan,Bachelor,97.8,"$99,171.94",LinkedIn
FL0407,Web Development,"Vue.js, React, Node.js",4.8,mid,North America,US,Master,103.01,"$101,310.39",Upwork
FL0408,Data Engineering,"ETL, BigQuery, Data Warehousing",6.4,senior,Latin America,Mexico,PhD,91.77,"$77,188.38",Upwork
FL0409,Web Development,"Vue.js, JavaScript, Angular",6.5,senior,Western Europe,Germany,Self-taught,125.37,"$118,951.80",Direct Client
FL0410,Web Development,"React, Node.js, Vue.js",7.1,senior,Latin America,Brazil,Bootcamp,65.9,"$62,777.45",LinkedIn
